country,date,name,price,weight
nic,1/14/2022,achiote molido sol maya ,74,0.2
nic,1/14/2022,te jengibre limon miel manzate caja  unidades ,83,0.03
nic,1/14/2022,galleta tosh pozuelo limon te verde  .gr,90,0.0
nic,1/14/2022, pack papas pringles crema y cebolla ,196,0.25
nic,1/14/2022,salsa naturas ketchup ,55,0.89
nic,1/14/2022,harina maiz el comal ,181,4.55
nic,1/14/2022,especie sabemas pimienta y comino en polvo  ,8,0.02
nic,1/14/2022,sal sol dorada en bote ,29,0.5
nic,1/14/2022,galleta sabemas dulce mantequilla ,53,0.31
nic,1/14/2022,sazonador naturisimo maggi ,69,0.22
nic,1/14/2022,pasta sabemas lengua,13,0.2
nic,1/14/2022,barra de cereal tosh lyne pina g u,119,0.17
nic,1/14/2022,frijol rojo entero blanditos ,54,0.91
nic,1/14/2022,pasas bolsa sol maya ,28,0.07
nic,1/14/2022,cafe las flores nuestra tierra mataga ,260,0.91
nic,1/14/2022,melocotoneat value en rodaja % jugo ,115,0.82
nic,1/14/2022,edulzante splenda  sobres ,251,0.1
nic,1/14/2022,salsaeat value espesa picante medio ,95,0.68
nic,1/14/2022,cereal malt o meal marshmallow ,89,0.34
nic,1/14/2022,barra nature valley crujiente avena y miel ,140,0.25
nic,1/14/2022,sazonador naturisimo maggi pack x,14,0.01
nic,1/14/2022,cerealeat value canela crunch ,123,0.57
nic,1/14/2022,mani diana japones hornea sal soya ,18,0.1
nic,1/14/2022,nuez cashitas de marañon horneada ,71,0.07
nic,1/14/2022,mezcla pancake bettycrocker bisquick ,100,0.57
nic,1/14/2022,maiz dulce del monte en crema ,52,0.42
nic,1/14/2022,sardina la sirena ovalada picante,96,0.42
nic,1/14/2022,atun la sirena en agua ,73,0.1
nic,1/14/2022,huevitos mani confiteria american ,32,0.2
nic,1/14/2022,sopa gallina criolla knorr ,10,0.05
nic,1/14/2022,chocolate hersheys milk choc share pack ,285,0.31
nic,1/14/2022,chocolates goplana surtido cuadros,250,0.2
nic,1/14/2022,salsa lizano picante ,27,0.06
nic,1/14/2022,boquita yummies platanos y chicharron ,43,0.15
nic,1/14/2022,sardina sabemas en salsa tomate ,30,0.16
nic,1/14/2022,te jengibre limon mondaisa caja undm,72,0.03
nic,1/14/2022,salsa lizano picante chilera ,44,0.16
nic,1/14/2022,nestle corn flakes sin gluten cereal g caja,101,0.4
